,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
56,1,"(3, 4, 4)",1,0.961038961038961,0.7894736842105263,56,0.8333333333333334,BNCI2014-004,1,1train
57,1,"(3, 4, 4)",2,0.935064935064935,0.631578947368421,56,0.8333333333333334,BNCI2014-004,1,1train
58,1,"(3, 4, 4)",3,0.922077922077922,0.7368421052631579,56,0.8333333333333334,BNCI2014-004,1,1train
59,1,"(3, 4, 4)",4,0.961038961038961,0.42105263157894735,56,0.6666666666666666,BNCI2014-004,1,1train
60,2,"(3, 4, 18)",0,0.9736842105263158,0.7,272,0.7083333333333334,BNCI2014-004,1,1train
61,2,"(3, 4, 18)",1,0.974025974025974,0.7894736842105263,272,0.75,BNCI2014-004,1,1train
62,2,"(3, 4, 18)",2,0.935064935064935,0.631578947368421,272,0.7916666666666666,BNCI2014-004,1,1train
63,2,"(3, 4, 18)",3,0.961038961038961,0.7368421052631579,272,0.5833333333333334,BNCI2014-004,1,1train
64,2,"(3, 4, 18)",4,0.961038961038961,0.47368421052631576,272,0.7083333333333334,BNCI2014-004,1,1train
65,3,"(3, 4, 16)",0,0.9868421052631579,0.7,464,0.7083333333333334,BNCI2014-004,1,1train
66,3,"(3, 4, 16)",1,0.961038961038961,0.7894736842105263,464,0.75,BNCI2014-004,1,1train
67,3,"(3, 4, 16)",2,0.948051948051948,0.5789473684210527,464,0.7916666666666666,BNCI2014-004,1,1train
68,3,"(3, 4, 16)",3,0.948051948051948,0.7894736842105263,464,0.625,BNCI2014-004,1,1train
69,3,"(3, 4, 16)",4,0.987012987012987,0.5263157894736842,464,0.6666666666666666,BNCI2014-004,1,1train
70,4,"(3, 4, 8)",0,0.9868421052631579,0.65,560,0.6666666666666666,BNCI2014-004,1,1train
71,4,"(3, 4, 8)",1,0.974025974025974,0.7894736842105263,560,0.75,BNCI2014-004,1,1train
72,4,"(3, 4, 8)",2,0.974025974025974,0.6842105263157895,560,0.75,BNCI2014-004,1,1train
73,4,"(3, 4, 8)",3,0.961038961038961,0.6842105263157895,560,0.625,BNCI2014-004,1,1train
74,4,"(3, 4, 8)",4,1.0,0.5263157894736842,560,0.6666666666666666,BNCI2014-004,1,1train
75,5,"(3, 4, 4)",0,0.9736842105263158,0.7,608,0.7083333333333334,BNCI2014-004,1,1train
76,5,"(3, 4, 4)",1,0.961038961038961,0.7894736842105263,608,0.75,BNCI2014-004,1,1train
77,5,"(3, 4, 4)",2,0.974025974025974,0.6842105263157895,608,0.75,BNCI2014-004,1,1train
78,5,"(3, 4, 4)",3,0.974025974025974,0.7368421052631579,608,0.5833333333333334,BNCI2014-004,1,1train
79,5,"(3, 4, 4)",4,1.0,0.47368421052631576,608,0.6666666666666666,BNCI2014-004,1,1train
80,6,"(2, 2, 2)",0,0.9736842105263158,0.7,616,0.6666666666666666,BNCI2014-004,1,1train
81,6,"(2, 2, 2)",1,0.974025974025974,0.7368421052631579,616,0.75,BNCI2014-004,1,1train
82,6,"(2, 2, 2)",2,0.974025974025974,0.6842105263157895,616,0.7916666666666666,BNCI2014-004,1,1train
83,6,"(2, 2, 2)",3,0.974025974025974,0.7368421052631579,616,0.5833333333333334,BNCI2014-004,1,1train
84,6,"(2, 2, 2)",4,1.0,0.47368421052631576,616,0.625,BNCI2014-004,1,1train
85,7,"(3, 4, 16)",0,0.9868421052631579,0.7,896,0.7083333333333334,BNCI2014-004,1,1train
86,7,"(3, 4, 16)",1,0.961038961038961,0.7894736842105263,896,0.7083333333333334,BNCI2014-004,1,1train
87,7,"(3, 4, 16)",2,1.0,0.5789473684210527,896,0.7916666666666666,BNCI2014-004,1,1train
88,7,"(3, 4, 16)",3,0.987012987012987,0.7894736842105263,896,0.5416666666666666,BNCI2014-004,1,1train
89,7,"(3, 4, 16)",4,1.0,0.5263157894736842,896,0.6666666666666666,BNCI2014-004,1,1train
90,8,"(3, 4, 16)",0,0.9736842105263158,0.65,1088,0.6666666666666666,BNCI2014-004,1,1train
91,8,"(3, 4, 16)",1,0.987012987012987,0.7894736842105263,1088,0.75,BNCI2014-004,1,1train
92,8,"(3, 4, 16)",2,1.0,0.5789473684210527,1088,0.75,BNCI2014-004,1,1train
93,8,"(3, 4, 16)",3,1.0,0.7894736842105263,1088,0.625,BNCI2014-004,1,1train
94,8,"(3, 4, 16)",4,1.0,0.5263157894736842,1088,0.7083333333333334,BNCI2014-004,1,1train
95,9,"(3, 4, 4)",0,0.9736842105263158,0.6,1136,0.6666666666666666,BNCI2014-004,1,1train
96,9,"(3, 4, 4)",1,0.987012987012987,0.6842105263157895,1136,0.7083333333333334,BNCI2014-004,1,1train
97,9,"(3, 4, 4)",2,1.0,0.631578947368421,1136,0.7083333333333334,BNCI2014-004,1,1train
98,9,"(3, 4, 4)",3,1.0,0.7894736842105263,1136,0.5833333333333334,BNCI2014-004,1,1train
99,9,"(3, 4, 4)",4,1.0,0.5263157894736842,1136,0.7083333333333334,BNCI2014-004,1,1train
100,0,"(1, 1, 1)",0,0.9411764705882353,0.6923076923076923,1,0.8125,BNCI2014-004,1,2train
101,0,"(1, 1, 1)",1,0.9019607843137255,0.6923076923076923,1,0.875,BNCI2014-004,1,2train
102,0,"(1, 1, 1)",2,0.9019607843137255,0.9230769230769231,1,0.90625,BNCI2014-004,1,2train
103,0,"(1, 1, 1)",3,0.9320388349514563,0.88,1,0.84375,BNCI2014-004,1,2train
104,0,"(1, 1, 1)",4,0.9223300970873787,0.88,1,0.90625,BNCI2014-004,1,2train
105,1,"(3, 4, 4)",0,0.9705882352941176,0.8076923076923077,49,0.875,BNCI2014-004,1,2train
106,1,"(3, 4, 4)",1,0.9117647058823529,0.8846153846153846,49,0.84375,BNCI2014-004,1,2train
107,1,"(3, 4, 4)",2,0.9411764705882353,0.8846153846153846,49,0.875,BNCI2014-004,1,2train
108,1,"(3, 4, 4)",3,0.970873786407767,0.68,49,0.90625,BNCI2014-004,1,2train
109,1,"(3, 4, 4)",4,0.970873786407767,0.84,49,0.84375,BNCI2014-004,1,2train
110,2,"(3, 4, 18)",0,0.9705882352941176,0.8076923076923077,265,0.84375,BNCI2014-004,1,2train
111,2,"(3, 4, 18)",1,0.9607843137254902,0.9230769230769231,265,0.875,BNCI2014-004,1,2train
112,2,"(3, 4, 18)",2,0.9803921568627451,0.8846153846153846,265,0.8125,BNCI2014-004,1,2train
113,2,"(3, 4, 18)",3,0.9902912621359223,0.72,265,0.8125,BNCI2014-004,1,2train
114,2,"(3, 4, 18)",4,0.9902912621359223,0.84,265,0.84375,BNCI2014-004,1,2train
115,3,"(3, 4, 18)",0,0.9607843137254902,0.8461538461538461,481,0.84375,BNCI2014-004,1,2train
116,3,"(3, 4, 18)",1,0.9607843137254902,0.9615384615384616,481,0.84375,BNCI2014-004,1,2train
117,3,"(3, 4, 18)",2,0.9705882352941176,0.8461538461538461,481,0.78125,BNCI2014-004,1,2train
118,3,"(3, 4, 18)",3,1.0,0.68,481,0.78125,BNCI2014-004,1,2train
119,3,"(3, 4, 18)",4,0.9902912621359223,0.84,481,0.84375,BNCI2014-004,1,2train
120,4,"(1, 1, 1)",0,0.9607843137254902,0.8076923076923077,482,0.78125,BNCI2014-004,1,2train
121,4,"(1, 1, 1)",1,0.9607843137254902,1.0,482,0.90625,BNCI2014-004,1,2train
122,4,"(1, 1, 1)",2,0.9803921568627451,0.8846153846153846,482,0.78125,BNCI2014-004,1,2train
123,4,"(1, 1, 1)",3,1.0,0.64,482,0.8125,BNCI2014-004,1,2train
124,4,"(1, 1, 1)",4,0.9902912621359223,0.84,482,0.8125,BNCI2014-004,1,2train
125,5,"(3, 4, 16)",0,0.9607843137254902,0.8076923076923077,674,0.8125,BNCI2014-004,1,2train
126,5,"(3, 4, 16)",1,0.9607843137254902,0.9230769230769231,674,0.90625,BNCI2014-004,1,2train
127,5,"(3, 4, 16)",2,0.9901960784313726,0.8846153846153846,674,0.75,BNCI2014-004,1,2train
128,5,"(3, 4, 16)",3,1.0,0.68,674,0.78125,BNCI2014-004,1,2train
129,5,"(3, 4, 16)",4,1.0,0.84,674,0.84375,BNCI2014-004,1,2train
130,6,"(1, 1, 1)",0,0.9607843137254902,0.8076923076923077,675,0.78125,BNCI2014-004,1,2train
131,6,"(1, 1, 1)",1,0.9607843137254902,0.9230769230769231,675,0.90625,BNCI2014-004,1,2train
132,6,"(1, 1, 1)",2,0.9901960784313726,0.8846153846153846,675,0.75,BNCI2014-004,1,2train
133,6,"(1, 1, 1)",3,1.0,0.68,675,0.8125,BNCI2014-004,1,2train
134,6,"(1, 1, 1)",4,1.0,0.84,675,0.84375,BNCI2014-004,1,2train
135,7,"(1, 1, 1)",0,0.9607843137254902,0.8076923076923077,676,0.78125,BNCI2014-004,1,2train
136,7,"(1, 1, 1)",1,0.9607843137254902,0.9230769230769231,676,0.875,BNCI2014-004,1,2train
137,7,"(1, 1, 1)",2,0.9901960784313726,0.8846153846153846,676,0.75,BNCI2014-004,1,2train
138,7,"(1, 1, 1)",3,1.0,0.68,676,0.78125,BNCI2014-004,1,2train
139,7,"(1, 1, 1)",4,1.0,0.84,676,0.84375,BNCI2014-004,1,2train
140,8,"(1, 1, 1)",0,0.9607843137254902,0.7692307692307693,677,0.78125,BNCI2014-004,1,2train
141,8,"(1, 1, 1)",1,0.9607843137254902,0.9615384615384616,677,0.875,BNCI2014-004,1,2train
142,8,"(1, 1, 1)",2,0.9901960784313726,0.8846153846153846,677,0.78125,BNCI2014-004,1,2train
143,8,"(1, 1, 1)",3,1.0,0.68,677,0.78125,BNCI2014-004,1,2train
144,8,"(1, 1, 1)",4,1.0,0.84,677,0.84375,BNCI2014-004,1,2train
145,9,"(1, 1, 1)",0,0.9705882352941176,0.8076923076923077,678,0.78125,BNCI2014-004,1,2train
146,9,"(1, 1, 1)",1,0.9607843137254902,0.8846153846153846,678,0.875,BNCI2014-004,1,2train
147,9,"(1, 1, 1)",2,0.9901960784313726,0.8846153846153846,678,0.78125,BNCI2014-004,1,2train
148,9,"(1, 1, 1)",3,1.0,0.68,678,0.78125,BNCI2014-004,1,2train
149,9,"(1, 1, 1)",4,1.0,0.84,678,0.84375,BNCI2014-004,1,2train
